Sample,MouseID,Region,n_total,Thy1_Islr_Num,Thy1_Islr_Denom,Islr_Thy1_Num,Islr_Thy1_Denom
1-01_d,1,d,503,21,97,21,129
1-02_d,1,d,491,43,132,43,109
1-03_d,1,d,472,22,144,22,65
1-04_d,1,d,442,13,95,13,32
1-04_n,1,n,214,46,58,46,116
1-04_t,1,t,656,58,154,58,147
1-05_d,1,d,319,16,88,14,30
1-05_n,1,n,194,62,65,64,128
1-05_t,1,t,513,78,153,78,158
1-06_d,1,d,486,21,116,43,74
1-06_n,1,n,123,60,65,38,97
1-06_t,1,t,609,81,181,81,171
1-07_d,1,d,321,31,110,51,74
1-07_n,1,n,177,43,46,24,110
1-07_t,1,t,498,74,156,75,184
1-08_d,1,d,402,38,113,46,79
1-08_n,1,n,121,28,40,20,93
1-08_t,1,t,523,66,153,66,172
1-09_d,1,d,230,67,139,61,81
1-09_n,1,n,155,49,61,55,105
1-09_t,1,t,385,116,200,116,186
1-10_d,1,d,202,64,133,64,100
1-10_n,1,n,161,25,50,20,88
1-10_t,1,t,363,89,183,84,188
1-11_d,1,d,206,42,110,53,75
1-11_n,1,n,155,41,78,25,85
1-11_t,1,t,361,83,188,78,160
1-12_d,1,d,320,90,195,91,138
1-12_n,1,n,301,20,35,15,163
1-12_t,1,t,621,110,230,106,301
2-01_d,2,d,325,10,156,10,20
2-02_d,2,d,322,10,134,9,16
2-02_n,2,n,155,30,53,31,56
2-02_t,2,t,477,40,187,40,72
2-04_d,2,d,292,1,183,1,1
2-04_n,2,n,304,99,238,99,112
2-04_t,2,t,596,100,421,100,113
3-02_d,3,d,142,1,54,1,4
3-02_n,3,n,191,96,173,96,104
3-02_t,3,t,333,97,227,97,108
5-01_d,5,d,585,56,351,56,72
5-02_n,5,n,346,95,151,95,103
5-03_d,5,d,638,30,225,30,59
5-04_d,5,d,520,15,51,15,53
5-05_d,5,d,198,9,111,9,21
5-06_d,5,d,243,3,148,3,10
5-06_n,5,n,236,63,176,63,77
5-06_t,5,t,321,28,86,28,35
5-08_t,5,t,479,66,324,66,87
6-01_d,6,d,216,2,152,2,3
6-01_n,6,n,144,69,113,69,72
6-01_t,6,t,360,71,265,71,75
6-02_d,6,d,445,0,297,0,0
6-03_d,6,d,435,5,258,5,9
6-04_d,6,d,186,5,79,5,23
6-05_d,6,d,386,1,59,1,2
6-06_d,6,d,234,3,142,3,21
6-06_n,6,n,250,62,141,62,138
6-06_t,6,t,484,65,283,65,159
6-07_d,6,d,400,3,121,3,20
6-07_n,6,n,51,1,13,1,5
6-07_t,6,t,451,4,134,4,25
